name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,torque_nm,log_selling_price
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,5,23.4,1248,74.0,190.0,13.017002861746503
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,5,21.14,1498,103.52,250.0,12.821258284620408
Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,5,23.0,1396,90.0,219.744,12.323855681186558
Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,5,16.1,1298,88.2,4905.0,11.77528972943772
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,5,20.14,1197,81.86,113.75,12.994530005894443
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,5,12.11,1061,57.5,4905.0,11.472103470449973
Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37.0,59.0,10.714417768752456
Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.1,170.0,12.765688433465597
Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,5,20.0,1399,68.1,160.0,12.206072645530174
Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,5,19.01,1461,108.45,248.0,13.122363377404328
Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,5,17.3,993,60.0,78.0,11.429543856031177
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,190.0,12.542544882151386
Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,12.206072645530174
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,5,18.9,1061,67.0,84.0,12.100712129872347
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,5,18.15,1198,82.0,115.0,12.89921982609012
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,5,23.0,1396,90.0,219.744,13.122363377404328
Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,62.0,11.918390573078392
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,219.7,13.42984807715229
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,5,21.0,1461,64.1,160.0,12.066810578196666
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,5,25.5,1498,98.6,200.0,13.764217263576723
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74.0,190.0,13.17115354157376
Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,5,21.5,1248,88.8,200.0,13.304684934198283
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,115.0,13.262125319779487
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,69.0,12.524526376648708
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,7,18.2,1248,73.8,172.5,12.611537753638338
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,5,18.9,1061,67.0,84.0,12.301382825334498
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,8,16.8,796,34.2,59.0,12.449014902564246
Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.415032991367148
Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,11.156250521031495
Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,5,14.0,796,35.0,59.841,11.918390573078392
Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.38472764187182
Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,4,23.407999999999998,796,40.3,60.0,12.706847933442663
Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.1,90.0,12.810388612383504
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,5,17.0,1591,121.3,151.0,13.954402556830892
Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,5,20.63,1198,67.0,104.0,11.918390573078392
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,7,13.93,2179,138.03,320.0,12.959844447906553
Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,4,16.1,796,37.0,59.0,11.918390573078392
Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,5,16.0,1368,160.77,250.0,14.557447902693651
Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,5,17.8,1497,117.3,145.0,13.737549016494562
Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,5,16.8,1497,116.3,146.0,12.959844447906553
Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,5,24.3,1248,88.5,200.0,13.617058399727497
Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,5,23.95,998,67.05,90.0,12.873902018105829
Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,7,12.55,2982,168.5,343.0,14.22097566607244
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,7,12.99,2494,100.0,200.0,13.458835614025542
Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,5,14.8,2143,120.7,200.0,14.187074114396758
Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,5,24.7,1498,98.63,200.0,12.959844447906553
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,7,13.5,2477,175.56,400.0,13.901688254205327
Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,5,26.0,1498,98.6,200.0,13.304684934198283
Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,5,27.3,1498,98.6,200.0,13.17115354157376
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,7,11.36,2755,171.5,360.0,14.316285845876763
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,7,12.99,2494,100.6,200.0,13.764217263576723
Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,5,17.68,1968,174.33,380.0,14.375126345899696
Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,5,18.53,1968,187.74,400.0,14.340238495183105
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,5,14.84,2143,170.0,400.0,14.169682371684887
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,5,21.12,1248,88.8,200.0,12.487485104968359
Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,5,20.36,1197,78.9,111.7,12.154779351142624
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,5,21.27,1396,88.76,219.6,12.959844447906553
Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,5,26.59,1248,74.0,190.0,13.353475098367715
Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,5,18.16,1196,86.8,112.0,13.304684934198283
Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,115.0,13.38472764187182
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,5,22.0,1498,108.495,250.0,13.199324418540456
